Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
386821,Non-Gaming Exempt (NGE),Noah Reashore Performer,24 ALDERPOINT RD,ALDERPOINT NS B1Y 2X1
386884,Non-Gaming Exempt (NGE),Peace by Chocolate,1741 LOWER WATER ST SUITE 166,HALIFAX NS B3J 0J2
387041,Non-Gaming Exempt (NGE),AV Shop,1-235 HOOD RD,MARKHAM ON L3R 4N3
387201,Non-Gaming Exempt (NGE),Stewart MacDonald,52 HAROLD ST,SYDNEY NS B1P 3L9
387216,Non-Gaming Exempt (NGE),Sean Currell,379 ASTRAL DR,DARTMOUTH NS B2V 2J1
387499,Non-Gaming Exempt (NGE),Unitech Inc.,305-4625 VARSITY DR NW SUITE 339,CALGARY AB T3A 0Z9
387500,Non-Gaming Exempt (NGE),Mackley Equipment Ltd.,83 BLACKETTS LAKE RD,SYDNEY FORKS NS B1L 1B9
387698,Non-Gaming Exempt (NGE),Prime Material Handling,21 CANAL ST,DARTMOUTH NS B2Y 2W1
387816,Non-Gaming Exempt (NGE),Chad Tetford,50 MASON RD,ALBERT BRIDGE NS B1K 5S3
388066,Non-Gaming Exempt (NGE),C and D Logistics,21777 ISLAND RD,PORT PERRY ON L9L 1B6
388073,Non-Gaming Exempt (NGE),James Scarth,12 GLENCOE DR,DARTMOUTH NS B2X 1J1
388075,Non-Gaming Exempt (NGE),Amigo's Duo,6 ELIZABETH ST,SYDNEY NS B1S 3T8
388233,Non-Gaming Exempt (NGE),Snow White Laundry & Drycleaners,58 TERRACE ST,SYDNEY NS B1P 2L5
388260,Non-Gaming Exempt (NGE),Steve MacIntyre,2 WAYE CT,PORT HAWKESBURY NS B9A 3B5
388367,Non-Gaming Exempt (NGE),Jacob Noonan,140 KINGS RD,SYDNEY NS B1S 2C5
388654,Non-Gaming Exempt (NGE),Chapters / Indigo,188 CHAIN LAKE DR,HALIFAX NS B3S 1C5
388737,Non-Gaming Exempt (NGE),Murray Stenton,277 HIGH ST,BEDFORD NS
388946,Non-Gaming Exempt (NGE),Hickory Farms,14-200 W BEAVER CREEK RD,RICHMOND HILL ON L4B 1B4
388947,Non-Gaming Exempt (NGE),Lizard the Bird,2-439 HERRING COVE  RD,HALIFAX NS B3R 1W9
389218,Non-Gaming Exempt (NGE),Ticket Master Canada,3100-1 BLUE JAYS WA,TORONTO ON M5V 1J3
389219,Non-Gaming Exempt (NGE),Kinkead Entertainment,253 JACKSON MEADOWS DR,HERMITAGE TN 37076
389273,Non-Gaming Exempt (NGE),Persephone,1271 CHURCH ST APT 516,HALIFAX NS B3J 3L3
389345,Non-Gaming Exempt (NGE),Elworthy's Nature in Bloom,1915 GEORGE ST,SYDNEY NS B1P 1P5
389487,Non-Gaming Exempt (NGE),TK Productions Ltd.,3 WILSON BL,HALIFAX NS B3M 3E5
389489,Non-Gaming Exempt (NGE),Rising Sun Media,"CALLE ANDORRA 19, 1B",MADRID 28043
389491,Non-Gaming Exempt (NGE),Jimmy Flynn,4 SPRUCE CT,THREE FATHAM HARBOUR NS B0J 2L0
366488,Non-Gaming Related (NG),World Wide Furniture,60 HIGHFIELD PARK DR,DARTMOUTH NS B3A 4R9
366491,Non-Gaming Related (NG),Omnigo Software International ULC,EAST TOWER,2233 ARGENTIA RD SUITE 302
389195,Non-Gaming Related (NG),Kaiser's Locksmiths Ltd.,377 GEORGE STREET,"SYDNEY, NS  B1P 1K2"
389188,Non-Gaming Related (NG),Paquette Productions,3320 MEADOW MARSH CR,OAKVILLE ON L6H 0T5
386959,Non-Gaming Related (NG),1930456 Ontario Inc. (Kallop),12-75 EAST BEAVER CREEK DR,RICHMOND HILL ON L4B 1B8
384810,Non-Gaming Related (NG),Stelee Properties Inc.,49 BRANS WA,WILLIAMSWOOD NS B3V 1T1
384691,Non-Gaming Related (NG),Janine Robinson,585 ST. CLARENS AV,TORONTO NS M6H 3W8
383804,Non-Gaming Related (NG),Invictus Entertainment Group,782 -650 DUNCAN  AV W,PENTICTON BC V2A 7N1
383484,Non-Gaming Related (NG),Bruce Guthro Entertainment Limited,1583 HOLLIS ST UNIT 2003,HALIFAX NS B3J 0E4
382524,Non-Gaming Related (NG),PricewaterhouseCoopers LLP,18 YORK ST,TORONTO ON M5J 0B2
