id;equi_id;operadora;placa;cliente_id;modelo
443;907383548;TIM;EJO5901;Transportadora Translecchi LTDA;3
444;907383703;TIM;GBW467;Transportadora Translecchi LTDA;12
445;907384189;TIM;GCR3875;Transportadora Translecchi LTDA;12
446;907384213;TIM;FPE5345;Transportadora Translecchi LTDA;12
447;907383700;TIM;FUZ7897;Transportadora Translecchi LTDA;12
448;907384201;;ESA2554;Transportadora Translecchi LTDA;12
449;907385069;TIM;DQG0534;Transportadora Translecchi LTDA;12
450;907384205;TIM;FMJ9953;Transportadora Translecchi LTDA;12
451;907383545;TIM;FVN1713;Transportadora Translecchi LTDA;12
452;341357;;CANCELAR;CANCELADO;1
453;907383570;TIM;FZY0624;Transportadora Translecchi LTDA;12
454;907383531;TIM;GIH6606;Transportadora Translecchi LTDA;12
455;907383554;TIM;EZZ2449;Transportadora Translecchi LTDA;12
456;907383546;TIM;FXI9423;Transportadora Translecchi LTDA;12
457;907383552;TIM;DUA8444;Transportadora Translecchi LTDA;12
458;907383540;TIM;FNH8011;Transportadora Translecchi LTDA;12
459;907383566;TIM;FBV1775;Transportadora Translecchi LTDA;12
460;907383535;TIM;FOB8532;Transportadora Translecchi LTDA;12
461;907383547;TIM;DCU8983;Transportadora Translecchi LTDA;12
462;907383562;TIM;ELI7794;Transportadora Translecchi LTDA;12
463;907383555;TIM;BKK5671;Transportadora Translecchi LTDA;12
464;907383536;TIM;ELV9372;Transportadora Translecchi LTDA;12
465;907383556;TIM;EUJ6269;Transportadora Translecchi LTDA;12
466;907383564;TIM;BYY6401;Transportadora Translecchi LTDA;12
467;907383537;TIM;FVD5433;Transportadora Translecchi LTDA;12
468;907383539;TIM;EQO8513;Transportadora Translecchi LTDA;12
469;907383558;TIM;ERK4032;Transportadora Translecchi LTDA;12
470;907383568;TIM;DUA6904;Transportadora Translecchi LTDA;12
471;7504832;TIM;FJB6107;Transportadora Translecchi LTDA;5
472;7504830;TIM;EBT7590;Transportadora Translecchi LTDA;5
473;907378603;TIM;CSV4831;Transportadora Translecchi LTDA;12
474;907378585;TIM;EGB3457;Transportadora Translecchi LTDA;12
475;907378596;TIM;ENU2816;Transportadora Translecchi LTDA;12
476;907378614;TIM;BVT3795;Transportadora Translecchi LTDA;12
477;907378609;TIM;EJR5770;Transportadora Translecchi LTDA;12
478;907378612;TIM;EGR8684;Transportadora Translecchi LTDA;12
479;907378598;TIM;EQU1197;Transportadora Translecchi LTDA;12
480;907378591;TIM;FJI9F32;Transportadora Translecchi LTDA;12
481;907378584;TIM;EGY1838;Transportadora Translecchi LTDA;12
482;907378583;TIM;ECT2365;Transportadora Translecchi LTDA;12
483;907378610;TIM;FOL1788;Transportadora Translecchi LTDA;12
484;907378615;TIM;FOL2J64;Transportadora Translecchi LTDA;12
485;907378597;TIM;NET0001;Transportadora Translecchi LTDA;12
486;907378616;TIM;EXR2H14;Transportadora Translecchi LTDA;12
487;907378608;TIM;GJZ8646;Transportadora Translecchi LTDA;12
488;907378587;TIM;EXL6858;Transportadora Translecchi LTDA;12
489;907378619;TIM;DKU3146;Transportadora Translecchi LTDA;12
490;907378617;TIM;EIJ7871;Transportadora Translecchi LTDA;12
491;907378613;TIM;BYX7058;Transportadora Translecchi LTDA;12
492;907378595;TIM;CNT0309;Transportadora Translecchi LTDA;12
493;907378600;TIM;EEE4618;Transportadora Translecchi LTDA;12
494;907378602;TIM;GJL5984;Transportadora Translecchi LTDA;12
495;907378588;TIM;GDU4D11;Transportadora Translecchi LTDA;12
496;907378611;TIM;DJM8257;Transportadora Translecchi LTDA;12
497;7504829;TIM;GKE2E18;Transportadora Translecchi LTDA;5
498;7504257;TIM;FZV2803;Transportadora Translecchi LTDA;5
499;7503795;TIM;IXJ8231;Transportadora Translecchi LTDA;5
500;7505608;TIM;FZM8B96;Transportadora Translecchi LTDA;5
501;7488604;TIM;FQK7E56;Transportadora Translecchi LTDA;5
502;7465028;TIM;FPV8H31;Transportadora Translecchi LTDA;5
503;7462992;TIM;EWJ5897;Transportadora Translecchi LTDA;5
504;7464931;TIM;FJX3293;Transportadora Translecchi LTDA;5
505;7465024;TIM;DSI5819;Transportadora Translecchi LTDA;5
506;7463672;TIM;FZH1946;Transportadora Translecchi LTDA;5
507;7432383;TIM;FDC6761;Transportadora Translecchi LTDA;5
508;7242427;TIM;FVG4H25;Transportadora Translecchi LTDA;5
509;7242921;TIM;EEE6J76;Transportadora Translecchi LTDA;5
510;7246043;TIM;FQK5554;Transportadora Translecchi LTDA;5
511;7246486;TIM;FXP7G03;Transportadora Translecchi LTDA;5
512;7245524;TIM;GFJ1C77;Transportadora Translecchi LTDA;5
513;7244587;TIM;EST4587;Transportadora Translecchi LTDA;5
514;7245528;TIM;FKP7F12;Transportadora Translecchi LTDA;5
515;7245211;TIM;DYE8194;Transportadora Translecchi LTDA;5
516;7464817;TIM;GFR6E85;Transportadora Translecchi LTDA;5
517;7464795;TIM;ENG4460;Transportadora Translecchi LTDA;5
518;7463009;TIM;EXL6865;Transportadora Translecchi LTDA;5
519;7432388;TIM;ECM9492;Transportadora Translecchi LTDA;5
520;8509548;;CAN9548;Transportadora Translecchi LTDA;1
521;8509597;TIM;CAN9597;Transportadora Translecchi LTDA;1
522;8509421;TIM;FZK1581;Transportadora Translecchi LTDA;1
523;8509423;TIM;CAN9423;Transportadora Translecchi LTDA;1
524;8509128;TIM;IXJ8831;Transportadora Translecchi LTDA;1
525;8509442;TIM;FXL8395;Transportadora Translecchi LTDA;1
526;8509376;TIM;FNZ0215;Transportadora Translecchi LTDA;1
527;8509305;TIM;FLJ4G81;Transportadora Translecchi LTDA;1
528;8509120;TIM;FGB2912;Transportadora Translecchi LTDA;1
529;8509822;;CAN9822;Transportadora Translecchi LTDA;11
530;8509420;TIM;EST9420;Transportadora Translecchi LTDA;1
531;8509437;TIM;FHY6357;Transportadora Translecchi LTDA;5
532;8509422;;CAN9422;Transportadora Translecchi LTDA;1
533;8509392;TIM;GGJ2E58;Transportadora Translecchi LTDA;1
534;7496247;TIM;EFO5964;Transportadora Translecchi LTDA;5
535;907378621;TIM;FQP5889;Transportadora Translecchi LTDA;12
536;7464804;TIM;EJE9410;Transportadora Translecchi LTDA;5
537;7465032;TIM;EXO9238;Transportadora Translecchi LTDA;5
538;8509655;TIM;FTZ9707;Transportadora Translecchi LTDA;1
539;8507019;TIM;CAN7019;Transportadora Translecchi LTDA;1
540;8509431;TIM;CAN9431;Transportadora Translecchi LTDA;1
541;8509657;TIM;CAN1898;Transportadora Translecchi LTDA;1
542;7484530;TIM;OWQ6783;Transportadora Translecchi LTDA;5
543;778124;TIM;EFO7505;Transportadora Translecchi LTDA;1
544;369285;TIM;GCR0778;Transportadora Translecchi LTDA;1
545;8277042;;CAN7042;Transportadora Translecchi LTDA;1
546;8355461;TIM;FXU0098;Transportadora Translecchi LTDA;1
547;8427793;TIM;ECM9497;Transportadora Translecchi LTDA;1
548;340127;TIM;FSZ0801;Transportadora Translecchi LTDA;1
549;8277046;TIM;CAN7046;Transportadora Translecchi LTDA;1
550;8355322;;CAN5322;Transportadora Translecchi LTDA;1
551;8225127;;CAN5127;Transportadora Translecchi LTDA;1
552;8277053;TIM;FNN9074;Transportadora Translecchi LTDA;1
553;907378607;;CAN8607;Transportadora Translecchi LTDA;12
554;907378590;TIM;FWM1872;Transportadora Translecchi LTDA;12
555;8414048;;CAN4048;Transportadora Translecchi LTDA;1
556;8241275;;FSN8555;Transportadora Translecchi LTDA;1
557;366676;TIM;FQC4440;Transportadora Translecchi LTDA;1
558;123154;TIM;EFO7449;Transportadora Translecchi LTDA;3
559;70680;TIM;FVG4405;Transportadora Translecchi LTDA;1
560;64074;TIM;FYX8775;Transportadora Translecchi LTDA;1
561;907378618;TIM;GCK5804;Transportadora Translecchi LTDA;12
562;7463823;TIM;OWP6083;Transportadora Translecchi LTDA;5
563;7478193;TIM;FJP7748;Transportadora Translecchi LTDA;5
564;907378605;TIM;FTE7824;Transportadora Translecchi LTDA;6
565;7504254;TIM;TRATOR;Transportadora Translecchi LTDA;5
566;338698;TIM;FTJ9965;Transportadora Translecchi LTDA;1
